theta,sketch_dim,elimination_rate,resurrection_rate,false_elimination_rate,topk_overlap,bandwidth_reduction
0.1,8,0.500095,0.499905,0.231721,0.8025,0.355552
0.2,8,0.503072,0.496928,0.231721,0.8025,0.358157
0.3,8,0.505982,0.494018,0.231721,0.8025,0.360703
0.4,8,0.508867,0.491133,0.237674,0.7975,0.363228
0.5,8,0.511694,0.488306,0.237674,0.7975,0.365701
0.6,8,0.514489,0.485511,0.240565,0.795,0.368147
0.7,8,0.517386,0.482614,0.243231,0.7925,0.370681
0.8,8,0.520209,0.479791,0.244565,0.79125,0.373152
0.9,8,0.523164,0.476836,0.246046,0.79,0.375737
0.1,16,0.500301,0.499699,0.140824,0.87625,0.301045
0.2,16,0.505723,0.494277,0.142203,0.875,0.305789
0.3,16,0.511158,0.488842,0.143803,0.87375,0.310544
0.4,16,0.516493,0.483507,0.149422,0.86875,0.315212
0.5,16,0.521761,0.478239,0.157022,0.8625,0.319822
0.6,16,0.527017,0.472983,0.157022,0.8625,0.324421
0.7,16,0.532609,0.467391,0.160042,0.86,0.329314
0.8,16,0.538055,0.461945,0.161421,0.85875,0.33408
0.9,16,0.543491,0.456509,0.165759,0.855,0.338835
0.1,32,0.50079,0.49921,0.055209,0.9525,0.192097
0.2,32,0.510215,0.489785,0.061147,0.9475,0.200344
0.3,32,0.5199,0.4801,0.063919,0.945,0.208818
0.4,32,0.529325,0.470675,0.06678,0.9425,0.217065
0.5,32,0.538465,0.461535,0.073759,0.93625,0.225063
0.6,32,0.547679,0.452321,0.07505,0.935,0.233125
0.7,32,0.556973,0.443027,0.076588,0.93375,0.241257
0.8,32,0.566387,0.433613,0.083536,0.9275,0.249495
0.9,32,0.575751,0.424249,0.089123,0.9225,0.257688
0.1,64,0.499043,0.500957,0.009888,0.99125,-0.028181
0.2,64,0.51615,0.48385,0.01265,0.98875,-0.013213
0.3,64,0.532985,0.467015,0.014131,0.9875,0.001519
0.4,64,0.549687,0.450313,0.014131,0.9875,0.016133
0.5,64,0.566002,0.433998,0.01551,0.98625,0.030408
0.6,64,0.582109,0.417891,0.01689,0.985,0.044502
0.7,64,0.598418,0.401582,0.019698,0.9825,0.058772
0.8,64,0.614634,0.385366,0.021077,0.98125,0.072961
0.9,64,0.630815,0.369185,0.026856,0.97625,0.087119
